name,time,tweet
aaleahcleox,Fri Sep 07 16:09:28 +0000 2018,I love how everyone has made themselves apart of the latest Nike campaign. #JustDoIt
IAMBELLFIT,Fri Sep 07 16:09:21 +0000 2018,Great morning BELLievers... Give them something to talk about today. Your standard should inspire zeal not comfort... #Nike #justdoit #gains #fitness #bodybuilding #Friday #health… https://t.co/bmpT1WVzVV
HeilJManziel,Fri Sep 07 16:09:18 +0000 2018,Imma just leave this here #nike #JustDoIt https://t.co/UbMkEjHqmn
randomjay,Fri Sep 07 16:09:04 +0000 2018,"In tears, these responses are GOLD! #JustDoIt  https://t.co/GjVNJRn6wS"
BilalMoutairou,Fri Sep 07 16:08:57 +0000 2018,"@KarltonLondon, how do you make pictures with #Justdoit"
justatittle1,Fri Sep 07 16:08:56 +0000 2018,"@realDonaldTrump Nike,like all of us,has freedom to express our own beliefs.They #JustDoIt is Democracy. Like the Many ventures in life, we take-chances,some for gain, and others for principle. It was a chance they were willing to take, and they shouldn’t be chastised. 
We reap what we sow."
teatone_malone,Fri Sep 07 16:08:53 +0000 2018,Well they aren’t monarchs but they sure are grass stained #JustDoIt https://t.co/FwAFqFhVXc
ChelseaNYLA,Fri Sep 07 16:08:32 +0000 2018,"Sending a major shout out to all of our friends at @WiedenKennedy &amp; @parkpictures for their work on the powerful new #DreamCrazy campaign for @Nike feat @Kaepernick7.

The spot showcases the power of filmmaking &amp; advertising and the tremendous impact we can all make.  #JustDoIt https://t.co/vul5hFionw"
Cojehali,Fri Sep 07 16:08:11 +0000 2018,"But hey, keep on burning those shoes! Y'all's loss is Nike's gain! 🤣https://t.co/KFOG4iDsJj   #JustDoIt"
Ling_823,Fri Sep 07 16:08:00 +0000 2018,"@realDonaldTrump Keep on saying negative stuff about #nike , because you’re pushing their stock back up. Continue to #justdoit and the stock will surpass it’s all time high!"
nobody_likeAB,Fri Sep 07 16:07:47 +0000 2018,@DanielleLuv00 Make sure they Nike 😂 #justdoit ✔️
GVegasHockey,Fri Sep 07 16:07:41 +0000 2018,Just a reminder that if you’re heading out to Corinth tonight for football consider coming to watch girls hockey take on the Tomahawks at 4:15 with a JV game following. The game will take place behind the Corinth Elementary School. Hope to see you there!! #justdoit
TauKamfinsa,Fri Sep 07 16:07:31 +0000 2018,@Kaepernick7 I salute #justdoit and to those human beings burning their #bikes that they already paid for - why couldn’t they all just donate those shoes to those that don’t even know what a shoe is? #burnyournike is the most ridiculous movement ever for 2018.
IAMF1R3F7Y,Fri Sep 07 16:07:21 +0000 2018,"Just ended a 30 year friendship with a Caucasian acquaintance because she's tired of hearing about Nike ads, race and Black people's protests for equality. Her solution? Cross-burnings and lynchings of Black men. 
This is where we are in 2018...

#JustDoIt https://t.co/5x9kjZPDza"
larrydowell,Fri Sep 07 16:07:16 +0000 2018,".@KimOlson4TxAg, our Dem candidate for Texas Commissioner of Agriculture-
""Believe in something, even if it means being the only Democrat in the neighborhood."" #JustVote #JustDoIt #UniteBlue #VoteBlue #GOTV #TurnTexasBlue #FlipTxBlue #TheResistance https://t.co/4IcNsATo40"
emikomusic_,Fri Sep 07 16:07:11 +0000 2018,"Don’t ask if you’re dreams are crazy, ask if they’re crazy enough #justdoit"
SamusAran2020,Fri Sep 07 16:06:58 +0000 2018,"@aseeger3 @TeedIsMe @jillosophy @FredMer39027021 @jimbo_always @LibturdSmasher @SCBelle6 @GeanineC @David_MagaUSA @Freed0mFirst @NaceBeth @fightinirish109 @dybarb @youlosenordys @RealBiddle @WillOfThePeopl5 @AmericanLaoch @Dr_Kaco @KevinMarriageDr @ElderLansing @byteflyer @Baby___Del @Satchalistic1 @Mongo444444 @The2ndA @J_MAGA @willthomas_80 @BillNJenGreen15 @mericusnation @Patriotmom2one @raypjrone @AshleyW838 @MakeNEGrrAgain @clintonhill889 @SandySega @BlackfootJon2 @imf_hunt @isis_ghost @TheUKDude1 @Briteeye777 @Red_Baron63 @Smhulk1 @Tallie14211271 @RokkerFiveOne @RealCharlesMoon @EasyGoLance @sherryteal3 @pattyann2358 It did no good. See the trouble that #ColinKaepernick started with his #TakeAKnee BS. People want to praise him and diss those who aren't. There are better ways to protest than to disrespect the nation.
#Nike #NikeBoycott #BoycottNike #NikeAd #JustDoIt #NFL #Kaepernick"
ChubbyIdrisElba,Fri Sep 07 16:06:56 +0000 2018,"I’m gonna start buying Sneakers #Nike #JustDoIt @ Kansas City, Missouri https://t.co/589CoiMuLb"
BlkRoyalTee,Fri Sep 07 16:06:49 +0000 2018,"200 smoooooooth writing/drawing pages are calling your name - have you ordered your custom, handcrafted journal?

👑 https://t.co/dioZH3nSRk 👑

#FridayFeeling #FridayMotivation #Handcrafted #Custom #Journal #EtsySeller #Writer #JustDoIt #GiftIdea #Birthday #BackToSchool #Support https://t.co/Q2Cb9jWZzh"
romy,Fri Sep 07 16:06:47 +0000 2018,Let’s go team. Love continues to win. ❤️ ⁦@Kaepernick7⁩ #JustDoIt  https://t.co/DoKBrQpxyM https://t.co/gH4oL9ncOS
